src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9958485958485959,0.14301712925729942,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.00809827526264866,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.01330818367237282,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008120574415530622,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005497287917923141,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.009613302368238586,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.029189050391753256,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008335956461700328,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014163614163614164,0.02053160914059343,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005649185471773439,,,
FRA_h0,LJU_h0,11,23,udp,0.012457254518808011,0.015917132882510916,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029295550452338327,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9975579975579976,0.041761727782474736,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042166382292955024,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.0056340807377928195,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029182789235470204,,,
WAR_h0,MAD_h0,304,312,udp,0.9975550122249389,0.025191044106202966,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01855921855921856,0.015877419396450643,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07502067493528905,9.745011806488037,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06158900211800302,10.817803859710693,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06632542547145441,9.52873945236206,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028511337690631806,12.461192846298218,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.09644052505896226,9.019818782806396,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.06499573787931635,24.232940912246704,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10228696005113455,15.761462926864624,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.0641896312849162,9.587183475494383,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06293560821241123,8.758298873901367,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.07169359255978741,8.431691884994509,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.10365123365122615,12.693612337112427,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07426726358918327,8.687471389770508,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.1286207333117304,21.29818272590637,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06873632725527831,8.472684383392334,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.14585298494623658,17.23614239692688,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08012319877586709,51.36173677444458,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.11359933422281521,14.060130834579468,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07292424976722532,11.261161088943481,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08898294366635544,11.913228511810305,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06974949056038358,8.346816539764403,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06418318888224746,9.897032737731934,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08018818371486526,8.993134021759033,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06510770906583936,9.892957448959349,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.0665734834018337,12.111687898635864,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.06753039095315025,9.683454751968382,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09167629812555786,13.24852728843689,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07194769359576969,8.305507659912111,
