src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9963369963369964,0.14567316986766515,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008132306356278677,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013302460054483751,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008059345904432956,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.00548256348923158,,,
BIL_h0,PAR_h0,202,222,udp,0.9987789987789988,0.02074038959074137,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.026771124100452137,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008527550563416347,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.015384615384615385,0.024957304909115748,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.0056181068676586406,,,
FRA_h0,LJU_h0,11,23,udp,0.017094017094017096,0.015887655530657088,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.00292316775618892,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.040840366384485266,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04235642230306686,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005884217633723631,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029358324696001697,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02434735951038911,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01221001221001221,0.015870399475097656,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.06900716042780748,8.566781044006348,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.08926845135845748,10.42795181274414,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07052153489051094,8.46945333480835,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028584310387215733,12.459701299667358,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06291712958367797,9.425527572631836,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.06979779135229251,23.964169025421143,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10861180237277553,14.168463945388794,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.060285397356828196,9.908957958221436,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.0572525965625,9.325562000274658,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.05933084998508798,8.688225030899048,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09743255543738367,12.106083393096926,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06778652198852772,8.489637136459349,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.12613893677674287,19.314836263656613,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07123549787835927,8.477643251419067,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.11873902251292971,17.006559371948242,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.07285731712587791,49.26342606544495,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.10936744290492116,13.967939853668213,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.06600688307857334,9.878188133239746,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08779990691901954,10.349787712097168,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06200820192307692,8.392479658126831,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.08710439604504257,8.788838386535645,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08883847925608011,10.228928327560423,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06336671687292485,8.501837968826294,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.07772133333333332,12.303961753845215,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07434393251533743,9.207386016845703,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08484179773214834,13.245687007904053,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06599446858264905,8.526490688323975,
