src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.991941391941392,0.13628428355629724,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008161839940341788,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.01339720311473432,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008107396126957895,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.0054605897966322,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.013866155451544914,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.025099126057826736,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008806538086962206,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.01514041514041514,0.019526527773949406,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005650081157102108,,,
FRA_h0,LJU_h0,11,23,udp,0.016605616605616606,0.015952941249398625,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029806353670336827,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.03487094680031577,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04254289186379729,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006178746846423772,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029149529407021474,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02595101417131121,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.015384615384615385,0.01594964663187663,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07803601147446931,9.213335514068604,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06317482222904514,10.535539627075195,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.09226006098283009,9.401879072189333,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.02836980802469136,12.479755878448485,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06458905979073243,9.218985319137571,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07288790978633607,24.370951652526852,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10058608675373135,11.618764877319336,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.05910039446263769,10.379760265350342,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06269462580645162,11.328640699386597,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06146842784278428,8.492937326431273,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08055048115767259,12.931889533996582,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07478227604562739,8.45164155960083,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.1289524681217691,18.741225004196167,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06190147664635915,8.522157192230225,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.10693782422228933,18.165645599365234,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08867844585164125,59.70640230178833,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.08962363497109826,12.321572065353394,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07139827316965273,10.497303009033203,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07573490518364158,12.029382705688475,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06246840398550725,8.381040573120117,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.07409832805710738,13.381779909133911,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.09154683333333333,9.371904134750368,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.0639171852092118,10.45315933227539,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08688200365764448,14.183005332946776,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07329085554903113,8.622781991958616,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08743717143709004,13.238954544067385,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07690652849041318,8.327134609222412,
