src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9948717948717949,0.1258639190263706,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008158176373212766,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013376558452881009,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008163166628361331,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005481156790503944,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.018869020184900005,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.035975643400260604,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008815111316312947,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.018315018315018316,0.015202058156331381,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005614812499292022,,,
FRA_h0,LJU_h0,11,23,udp,0.014407814407814409,0.016079304581981594,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029390117915413174,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.05559823684785538,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042243745915755665,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006183277206979828,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029500475151052695,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02382629949481097,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.014407814407814409,0.015816357176182634,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.08050263491106421,8.567682504653929,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07510242985342507,10.572250127792357,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06111486627043091,8.411048412322996,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.02840181339563863,12.460536241531372,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06667357353827608,8.84218168258667,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.08090528329872441,24.891719102859497,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.09721858727216559,14.562283277511597,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.07745700612602101,9.538239002227783,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06217489231718605,10.500149488449095,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.08158215962837838,8.482561111450195,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.07471761505507955,9.965766191482542,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06637553754030401,8.789143323898315,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.13660167210089202,22.4445641040802,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07161417427093132,8.820494413375853,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.09665013718411553,19.260367155075073,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.09715403628571428,48.67747259140015,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09660458482642778,11.666069269180298,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.06504851450533101,11.618221759796144,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08228119715099715,13.086323738098145,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.0742822365269461,8.385744333267214,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06688108323529413,10.500213146209717,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.0704775879841415,11.486608028411865,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06286517126704357,8.621395826339723,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08931392614707731,13.403083801269533,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07020188912710566,10.685742616653444,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09004809357249627,13.257545709609985,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06722914687100894,8.534869909286499,
