src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.991941391941392,0.14792519053586417,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008189944207886636,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013397790049458598,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008164629976973575,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005495090046683695,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.00946302949581682,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.023169947951935013,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008290065164531107,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.017094017094017096,0.019873785972595214,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005668284517504793,,,
FRA_h0,LJU_h0,11,23,udp,0.01904761904761905,0.016126238382779635,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002947797064961677,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.07178297496977307,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04238817860852827,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.0056963374472071985,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002922421642857739,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.09831641006003382,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01904761904761905,0.0158078303703895,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07122620588235294,8.572700500488281,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.08759760971223021,10.370215892791748,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07221707165286896,8.39760160446167,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.07575659105158165,8.803530931472777,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07498922328644118,8.872642040252686,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.09834260159852444,14.60304880142212,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.09549549460255152,14.15116286277771,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.08245499734042552,9.117499828338623,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07020729640947287,9.935958147048948,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.0750137816032888,8.385340690612793,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09400850117331545,12.18318796157837,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.05051766767189385,8.683683395385742,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.14567561400894188,22.0391902923584,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07737274064171124,8.434137105941772,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.0913466144278607,16.991488933563232,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.10450918440954043,13.000746726989744,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09327266394112838,11.762887477874756,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.08028551712733285,9.844281435012816,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.09031641597952801,14.635392427444458,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06423670924977402,8.381594657897951,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06453953592173647,10.459000349044802,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07903901257356875,10.659299612045286,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.0866601873286628,16.935462951660153,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08895694381429702,13.661745071411133,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07195029353680431,9.689737081527712,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08978808770883054,13.240622520446776,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06899406837606838,8.46341609954834,
