src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9907203907203908,0.14691829228888953,,,
MIL_h0,ZAG_h0,217,237,udp,0.9995115995115995,0.008117427926118293,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013357179767482883,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008104207023741707,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.00547151734395196,,,
BIL_h0,PAR_h0,202,222,udp,0.9997557997557998,0.061364121360201106,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.021723207705183992,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.009115390521411639,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.01684981684981685,0.018012036447939667,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005674625811268267,,,
FRA_h0,LJU_h0,11,23,udp,0.017094017094017096,0.0160482508795602,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029568109174642225,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.048453073921296885,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04231515198873133,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006340377758710812,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002913655000437456,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.025729943604224467,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01562881562881563,0.01607091724872589,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07657294116383938,10.287944555282591,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07156718978543367,10.715638875961305,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.05584485526315789,9.686436176300047,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.01776972674791533,12.504200458526613,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06766011780495079,8.712823629379272,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.0609564079068342,24.41644096374512,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.09734688126396426,14.725069999694824,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.07202143755169563,9.741433382034304,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07799494504056531,8.688883066177366,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.0621763176820208,8.324238777160645,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08826436957276833,13.980485439300535,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.0654620905101481,8.576187372207643,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.11342866124578091,17.06479549407959,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.08023604942290619,8.476692676544191,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.09658234793261868,17.04246997833252,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.10864497975506122,56.61283779144287,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09459211244608748,13.795892000198364,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07498655892034232,10.615242719650267,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.0808288002569043,13.766448736190796,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.07116168929804373,8.406262874603271,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06750666132930513,11.378376483917235,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07525518807724602,9.679326772689821,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.0706466836734694,12.03268814086914,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.10206650573287884,14.380098819732664,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07147292998204668,9.608306884765623,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09261410538850848,13.232852220535278,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.0803968619903051,8.326149702072144,
