src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9978021978021978,0.1455006502565075,,,
MIL_h0,ZAG_h0,217,237,udp,0.999023199023199,0.008127262760741412,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013293066770020276,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008125860787136651,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005469655175494333,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.036251035802093615,,,
GEN_h0,PRA_h0,303,311,udp,0.9340390879478827,0.0339187203850451,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.00815610984597305,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014407814407814409,0.017506777229955642,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005641568420279739,,,
FRA_h0,LJU_h0,11,23,udp,0.014163614163614164,0.01594631836332124,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002923205716851576,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.0445001107847778,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04208974616743242,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.00561497674320207,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029300534244858737,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.025274536720406457,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.013186813186813187,0.01576949048925329,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.06889091038575668,8.481327295303345,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.08077614821482149,10.34143590927124,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06782037328954571,8.55558443069458,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028749110904007454,12.506126165390015,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07765848908554572,8.845035791397097,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07631502331189711,24.033780097961426,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.1083691096654275,16.252855777740482,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.06222973966833377,10.030411481857302,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06966488646416986,8.847232341766357,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.07059766483757683,8.461275100708008,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08475824422673199,13.859209537506105,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07172385779554541,8.640357971191406,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.167155960933261,17.43122386932373,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07721559626777252,8.412422180175781,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.11740660297305668,17.047232151031494,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08248020811287478,58.022942543029785,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.0970538608289871,9.360153436660768,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.0833056974242853,11.570189237594604,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08512732908242612,12.102323293685913,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06870168522930316,8.418398857116701,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.059899000609013396,10.504832506179811,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07331631914277441,9.71034860610962,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06681319246861925,8.520255088806152,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.1029918037463977,14.173581838607788,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07559837838651415,9.122025966644287,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08446596031505604,13.234196186065676,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07024557373974209,8.393085956573486,
