src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9987789987789988,0.14177086650596563,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008115684922054795,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013310348885691064,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.00815570072085575,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005399199596660336,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.04888477744636955,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.025350274985310308,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008386449441222773,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.01684981684981685,0.03071711374365765,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.0055906773777962895,,,
FRA_h0,LJU_h0,11,23,udp,0.012942612942612943,0.015978057429475605,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.00292265872233371,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.05665655590794197,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042159784102498175,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005749790834419893,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002968274862920554,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.028364832069005242,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.015384615384615385,0.015985799214196583,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.0799804950357885,10.496038198471071,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07490170830842798,10.896824598312378,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06482140615960524,8.615484237670897,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028846477322489836,12.459895610809324,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.0719111565909761,8.911333560943604,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.09064146084089036,24.07761788368225,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10525334197218711,16.508586883544922,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.07279388138888888,10.010232686996462,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.0705387289577636,10.588200092315674,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.07496295441089401,8.449871778488161,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09096592721202003,15.432895421981812,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06872793496774193,9.227721452713011,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.13852919293906005,21.00459980964661,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06492434139784946,8.347423791885376,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.11735282090997097,17.60261058807373,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.0736536788019623,51.318196773529046,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.0956777183648933,12.214761734008787,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.08449938874413757,10.873133420944214,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08812802779386218,14.9614417552948,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06615732034248598,8.293083667755129,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.08327189254385965,8.946639060974121,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08854187183179724,9.010929107666016,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06693,8.554460763931273,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.09510461565053425,10.644910573959349,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.0767078404551201,8.657669305801393,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09090457311893203,13.2303786277771,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06482590023474179,8.38482141494751,
