src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9934065934065934,0.1378095188089294,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008149818623022283,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013364139494005141,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008072041591881832,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.0054441977187681834,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.012865801579495198,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.025447052348320183,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008336994266626454,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.010744810744810745,0.015111717310818758,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005607109978085473,,,
FRA_h0,LJU_h0,11,23,udp,0.015873015873015872,0.015810170540442835,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002963691869789282,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9975579975579976,0.06009381462339964,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04236908996600685,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005638725853664971,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029132379571451227,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02426001261965278,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.014163614163614164,0.015909848542049014,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07291999198273204,10.021574020385742,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06901414094775213,10.493121385574339,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.0697138980620155,8.569290637969969,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028611353306426574,12.51217770576477,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.08863133117795896,8.847729682922363,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.06882536255865646,24.963277339935303,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10545816399506783,17.33362102508545,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.07992948330351818,9.904289245605467,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07090148863947442,9.552932739257812,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.08610038900086381,8.348566770553589,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.07607521857923498,12.906469583511353,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.08491278172451194,8.687879800796509,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.1558053872064277,20.654868125915527,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.05845591426840351,8.430384397506714,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.12526144369645043,17.584557056427002,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.09887007850609757,57.48077726364136,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.0927917670694864,10.378714561462402,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07447233512195123,10.392909049987793,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.09042046385718466,13.088130474090574,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06448586844498333,8.381799697875978,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.05723008974358974,10.42675495147705,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08651452579034942,10.2730712890625,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.08035084837758112,8.489759206771849,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.1036957284726587,14.14630651473999,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.06197250863095238,9.03097677230835,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08426636635737804,13.232279300689695,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06444503683415187,8.498328924179077,
