src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9965811965811966,0.14360856536672678,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.00810176048232231,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013365812674255744,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008047047930613834,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005452178889869624,,,
BIL_h0,PAR_h0,202,222,udp,0.9997557997557998,0.0197678004233617,,,
GEN_h0,PRA_h0,303,311,udp,0.7328990228013029,0.01930288659201728,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008397607081393473,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.01562881562881563,0.01583603397011757,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005584857344481825,,,
FRA_h0,LJU_h0,11,23,udp,0.013186813186813187,0.01597834516454626,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002915740449786623,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04567935265900888,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042168667380559126,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005687402834676852,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0028797755747924357,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02489587555304716,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.013675213675213675,0.01577651926449367,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.0727444932591483,10.396376132965088,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07356663818344787,10.527201414108275,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.08030194879883523,8.466769933700563,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028650499534016778,12.464900016784668,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.08083944332344213,8.909596920013428,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07189779791499598,24.473873853683468,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.08665080291508238,12.37738800048828,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.06267767156286722,9.679226875305176,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07229726089354661,8.60684871673584,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06388885790566597,8.347233772277832,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.07991453813914501,13.256099462509155,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07620185883539198,8.943881034851074,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.14810456714663534,18.823198795318607,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07533726964285714,8.436847686767576,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.0904747282305547,17.065230131149292,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.07432392026825634,55.329927682876594,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.08969946621819246,8.82897424697876,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.080938956601467,10.793698072433472,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.0797929540229885,12.022920370101929,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06381088835534214,8.377694368362429,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06806074927536232,9.438806772232057,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07519753680022734,9.476203203201292,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.0611969172705314,8.49944543838501,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.05773632775919733,19.721195936203003,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.06869620213089801,10.296199321746826,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08496606151515151,13.225614070892336,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07049053031015039,8.392794370651245,
