src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9946275946275946,0.14031921678698095,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008122924890855875,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013339015415736608,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.00808044685112251,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005506227001307589,,,
BIL_h0,PAR_h0,202,222,udp,0.9985347985347985,0.07245490270536725,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.029308965035292536,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008607236806289617,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014896214896214897,0.019286745884379404,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005676604190588871,,,
FRA_h0,LJU_h0,11,23,udp,0.018315018315018316,0.015886065165201822,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002908584748432313,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04355531763535571,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04225835765195068,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005826318249452099,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0028834358676449283,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.025745414579993065,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.016361416361416362,0.0162647161910783,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.06951528367670365,8.633496999740599,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.09619817374517374,10.351924896240234,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.09993180124040164,9.795708656311037,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028747844381313132,12.46753454208374,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07965848050014886,8.894955396652223,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07168783055885851,23.95418334007263,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.09815516212027278,14.745535850524902,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.0672518745449454,9.645162343978884,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06812313136486894,10.485847234725954,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06966603509749303,8.491125106811522,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.07989790165016501,10.623201370239258,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.0623814131934033,8.865860700607302,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.12236353832004905,19.22144818305969,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07500124199820521,8.420960903167725,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.09894321371951219,17.404201030731198,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.1014887638746146,58.85879373550415,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.08380343209568901,9.361653804779053,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.06977636810551559,10.505309343338011,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07753119841017488,12.66770076751709,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.07083761073215097,8.427024364471437,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.08156282161498311,18.184800863265988,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07786791002277904,10.921447992324829,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.07127256209292228,8.584974765777588,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08189109911015649,16.777342081069946,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.08423537769918095,10.914118766784668,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08365247382590488,13.22482967376709,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.0727936175074184,8.298950672149656,
