src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.991941391941392,0.14329031258014432,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008091731891436407,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013409106693570576,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008149476918836508,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005505423784547091,,,
BIL_h0,PAR_h0,202,222,udp,0.9997557997557998,0.011978032650689002,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.023220556178388068,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008811046264983795,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.013675213675213675,0.019529185124805996,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005639421779739697,,,
FRA_h0,LJU_h0,11,23,udp,0.01733821733821734,0.01610166925779531,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029731171272065387,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04529613511175172,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04240225521451395,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006151495748387152,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002942234663445143,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.02591898213971798,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.016605616605616606,0.015838289962095374,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07629567022862822,10.222399711608887,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.0666412516737675,10.614700078964232,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07349928076731439,8.420568466186522,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.01870025382165605,12.444152116775513,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.08114212828850134,8.835319519042969,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07843103330486764,24.69835638999939,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10120399629972247,13.324326038360596,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.0655931915003887,9.523446083068848,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06782620670926517,8.392507791519165,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.05564075339571385,8.420528411865233,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09062068001291572,9.224509477615355,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06336774285714285,8.585251808166504,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.14170020182700543,21.70664477348328,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07010958016464132,8.594091176986693,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.1040410457487168,17.953917980194095,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.09110333975204431,47.27188515663147,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.1151123995834573,15.052239179611206,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07446455213780376,10.251859188079834,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08828599516752578,10.84144139289856,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.05729718539493294,8.394814729690554,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06683051178069778,9.221793889999391,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08053723919308357,10.146833896636963,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06863653381247958,9.491182565689089,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08421999340037711,13.61302399635315,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.06826732154531948,8.629603624343872,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08995139140955838,13.24234414100647,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.08400291274970623,8.285834312438965,
