src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9946275946275946,0.14142405468739136,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008117198361730832,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013351323869493273,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008080615811004452,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.00551122809795524,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.016754740876883667,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.03450529913172271,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008702898724175198,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.016605616605616606,0.020824698840870577,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005651077042278061,,,
FRA_h0,LJU_h0,11,23,udp,0.01855921855921856,0.015928905261190313,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029024384979508882,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.06216546434062034,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042361701904707255,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005899523174951947,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029369241297608913,,,
WAR_h0,MAD_h0,304,312,udp,0.9975550122249389,0.024415986210692162,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01611721611721612,0.016118674567251495,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.0754247240806643,9.344122886657717,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06237036228363195,10.59088897705078,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07104736196888785,8.445018529891968,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028494393279402615,12.462034225463867,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06295685389901405,9.363405942916868,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.06967406242289662,24.94666028022766,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10710936262719704,16.214954853057858,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.0761729293526456,10.828760623931883,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.06579930924678505,11.678784370422365,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.0647514444110577,8.486644744873049,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08028137541199735,11.708759069442749,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.05375113644578313,9.619833707809446,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.15535886487260234,22.54358267784119,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07743522371188222,8.478717565536499,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.14427463415375263,17.484168529510498,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.10027885699263933,58.92790412902832,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09674366439573459,9.756372451782227,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.0709262635253054,9.051528692245485,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.08318205409232513,11.147304773330688,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06666679910846954,8.375351428985597,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.05775883215275639,10.273662090301514,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.0662274991097923,10.428580284118652,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.073674817625459,10.302325963974,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.09500818641439206,14.197714567184448,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07926383141248995,8.974971771240234,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.0929335235680191,13.247543811798096,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.0780323909215956,8.329250812530518,
