src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9946275946275946,0.14501710532778697,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008226237279591543,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013386125063867068,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.00808480109050597,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005409037819421044,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.02247608822926206,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.02396232666332481,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.00861079206687918,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014163614163614164,0.015258291672016012,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005604575812743842,,,
FRA_h0,LJU_h0,11,23,udp,0.015873015873015872,0.016115933198195237,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002951324204385499,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.07254555376934248,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04215969083361637,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005883091215103392,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029754713195875304,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.07869864559406756,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01391941391941392,0.015890443534181828,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.0722419688664183,8.529189825057982,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07127268138897351,10.373361110687256,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07008869058295963,8.616455554962156,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.0674021572201652,8.812349557876589,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07493493999408808,8.784792184829714,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.09076626571250779,16.981090068817142,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10025790169491526,18.080058336257935,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.08403872589571804,9.132219552993773,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07140915892641737,10.35876750946045,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06682494569779643,8.409584999084473,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09204481093394076,9.020965337753298,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07442757336956522,8.54853081703186,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.1504786073423783,17.48621916770935,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06483736453645364,8.412866592407228,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.11578728448275863,16.1955463886261,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08621196931956257,13.233458042144775,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.07936176369758187,9.84233856201172,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.086034075,10.549253940582275,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.09593823865755127,14.88687014579773,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.07200525296995108,8.379757642745973,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.07358177436347674,10.051396369934082,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08457997029702971,10.759254932403564,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.09107725209302325,15.733243942260742,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08462698608103929,13.028244972229006,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.0741853963750985,8.646184206008911,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09143868477292966,13.22224736213684,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06730943476385594,8.43307089805603,
